Linie;KM;Name;Abkuerzung Bahnhof;Haltestellen Name;oben;unten;Baujahr;Typ;Bauart;Nutzung;Zusatz Nutzen;Breite;Länge;DIFF H=;Steigung;Handlauf;Oberfläche;Bemerkung Oberfläche;Perron;Didok-Nummer;EIGENTuMER;ANTEIL EIGENTUM;MITEIGENTuMER GRUPPE;FID;Geoposition;BPUIC;lod
100;39.134;E2 Quai 2/3;AIG;Aigle;Treppe;Personenunterfuhrung;2005;Perrontreppe;Beton;Fussgaenger;;1.46;8.22;0.68;17/30;beidseitig;Naturstein-Pflaesterung;;2/3;1400;SBB Infrastruktur;100;;35279541;46.31831094562971, 6.962687413245714;8501400;http://lod.opentransportdata.swiss/didok/,8501400
100;39.176;R4 Quai 1;AIG;Aigle;Perron;Fuss/Radweg;;Perronrampe;Beton;Fussgaenger;keine;1.7;7.0;0.73;10%;kein;Bituminoeses Mischgut;;;1400;SBB Konzern;100;;255087487;46.31801453248348, 6.963103350987543;8501400;http://lod.opentransportdata.swiss/didok/,8501400
100;39.354;E13 PI voy d'Aigle;AIG;Aigle;Rampe;Personenunterfuhrung;2005;Perrontreppe;Beton;Fussgaenger;keine;2.7;2.64;;15/30;kein;Naturstein-Pflaesterung;;;1400;SBB Infrastruktur;100;;299616487;46.31651158407299, 6.963902013069255;8501400;http://lod.opentransportdata.swiss/didok/,8501400
100;85.284;R3 Quai 2/3;ARD;Ardon;Perron;Personenunterfuhrung;2012;Perronrampe;Beton;Fussgaenger;Kinderwagen(-rampe);1.94;37.52;4.31;11.49;beidseitig;Beton-Belag;;2/3;1505;SBB Infrastruktur;100;;119656210;46.20831097364726, 7.270853219302676;8501505;http://lod.opentransportdata.swiss/didok/,8501505
100;47.588;R7 Quai 1;BEX;Bex;Perron;Personenunterfuhrung;2020;Perronrampe;Beton;Fussgaenger;keine;2.75;78.24;2.08;6;beidseitig;Beton-Belag;;1;1402;SBB Infrastruktur;100;;279651141;46.25122955907157, 7.000790281189445;8501402;http://lod.opentransportdata.swiss/didok/,8501402
100;47.588;E5 Place;BEX;Bex;Platz;Personenunterfuhrung;2020;Perrontreppe;Beton;Fussgaenger;keine;2.75;3.6;1.75;12/17;beidseitig;Bituminoeses Mischgut;;1;1402;SBB Konzern;100;;279651147;46.25126022291614, 7.000912406201368;8501402;http://lod.opentransportdata.swiss/didok/,8501402
100;21.546;R4 Quai 2;BURI;Burier;Perron;Trottoir;2008;Perronrampe;Beton;Fussgaenger;keine;1.514;5.99;0.35;6%;einseitig;Bituminoeses Mischgut;;1;1202;SBB Infrastruktur;100;;35183792;46.44780269452078, 6.87735364901672;8501202;http://lod.opentransportdata.swiss/didok/,8501202
100;21.586;E7 Quai 1;BURI;Burier;Perron;Rampe;2009;Perrontreppe;Beton;Fussgaenger;keine;4.0;2.89;1.835;17/30;beidseitig;Beton-Belag;;1;1202;SBB Infrastruktur;100;;35056724;46.44774690188001, 6.877861947497147;8501202;http://lod.opentransportdata.swiss/didok/,8501202
100;23.082;E3 acces quai 1;CL;Clarens;Platz;Personenunterfuhrung;1956;Perrontreppe;Beton;Fussgaenger;keine;3.067;6.5;3.35;51.53;beidseitig;Naturstein-Pflaesterung;;1;1203;SBB Infrastruktur;100;;35214333;46.44277688126485, 6.895622180452849;8501203;http://lod.opentransportdata.swiss/didok/,8501203
100;23.06;R1 acces quai 1;CL;Clarens;Perron;Platz;2022;Perronrampe;Beton;Fussgaenger;keine;2.5;10.87;;6;beidseitig;Bituminoeses Mischgut;;;1203;SBB Infrastruktur;100;;304982837;46.44285310810504, 6.895341981825617;8501203;http://lod.opentransportdata.swiss/didok/,8501203
